FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2018-01-01,UA,19977,UA,965,13495,1349505,33495,MSY,14771,1477104,32457,SFO,1533,1535,2.00,11.00,1546,1812,7.00,1830,1819,-11.00,0.00,,0.00,1911.00
2018-01-01,UA,19977,UA,964,13930,1393006,30977,ORD,14524,1452401,34524,RIC,1748,1819,31.00,55.00,1914,2136,6.00,2049,2142,53.00,0.00,,0.00,642.00
2018-01-01,UA,19977,UA,948,14771,1477104,32457,SFO,11292,1129202,30325,DEN,0825,0822,-3.00,19.00,0841,1138,6.00,1200,1144,-16.00,0.00,,0.00,967.00
2018-01-01,UA,19977,UA,943,14771,1477104,32457,SFO,12889,1288903,32211,LAS,1500,1647,107.00,18.00,1705,1803,5.00,1638,1808,90.00,0.00,,0.00,414.00
2018-01-01,UA,19977,UA,942,13495,1349505,33495,MSY,12266,1226603,31453,IAH,1906,1859,-7.00,8.00,1907,2003,11.00,2030,2014,-16.00,0.00,,0.00,305.00
2018-01-01,UA,19977,UA,939,11292,1129202,30325,DEN,12264,1226402,30852,IAD,0755,0753,-2.00,24.00,0817,1256,6.00,1310,1302,-8.00,0.00,,0.00,1452.00
2018-01-01,UA,19977,UA,927,13930,1393006,30977,ORD,12892,1289208,32575,LAX,0830,0900,30.00,16.00,0916,1109,23.00,1113,1132,19.00,0.00,,0.00,1744.00
2018-01-01,UA,19977,UA,926,13930,1393006,30977,ORD,10849,1084905,30849,BZN,1939,1939,0.00,18.00,1957,2138,5.00,2205,2143,-22.00,0.00,,0.00,1185.00
2018-01-01,UA,19977,UA,922,11697,1169706,32467,FLL,14771,1477104,32457,SFO,0633,0730,57.00,12.00,0742,1036,5.00,1003,1041,38.00,0.00,,0.00,2584.00
2018-01-01,UA,19977,UA,920,13502,1350202,33502,MTJ,12266,1226603,31453,IAH,1449,1437,-12.00,9.00,1446,1738,9.00,1825,1747,-38.00,0.00,,0.00,927.00
2018-01-01,UA,19977,UA,913,14570,1457002,34570,RNO,14771,1477104,32457,SFO,0600,0559,-1.00,9.00,0608,0656,5.00,0720,0701,-19.00,0.00,,0.00,192.00
2018-01-01,UA,19977,UA,912,11618,1161802,31703,EWR,14771,1477104,32457,SFO,1145,1205,20.00,25.00,1230,1502,6.00,1515,1508,-7.00,0.00,,0.00,2565.00
2018-01-01,UA,19977,UA,910,14679,1467903,33570,SAN,12892,1289208,32575,LAX,1350,1348,-2.00,17.00,1405,1429,6.00,1448,1435,-13.00,0.00,,0.00,109.00
2018-01-01,UA,19977,UA,905,11618,1161802,31703,EWR,15304,1530402,33195,TPA,1125,1139,14.00,14.00,1153,1432,6.00,1425,1438,13.00,0.00,,0.00,997.00
2018-01-01,UA,19977,UA,904,11618,1161802,31703,EWR,13495,1349505,33495,MSY,2110,2130,20.00,31.00,2201,2356,5.00,2337,0001,24.00,0.00,,0.00,1167.00
2018-01-01,UA,19977,UA,897,10693,1069302,30693,BNA,11618,1161802,31703,EWR,0600,0559,-1.00,12.00,0611,0853,11.00,0916,0904,-12.00,0.00,,0.00,748.00
2018-01-01,UA,19977,UA,894,12264,1226402,30852,IAD,12892,1289208,32575,LAX,1555,1550,-5.00,10.00,1600,1820,6.00,1849,1826,-23.00,0.00,,0.00,2288.00
2018-01-01,UA,19977,UA,878,12266,1226603,31453,IAH,13487,1348702,31650,MSP,1955,2032,37.00,14.00,2046,2305,6.00,2247,2311,24.00,0.00,,0.00,1034.00
2018-01-01,UA,19977,UA,877,13204,1320402,31454,MCO,11618,1161802,31703,EWR,0900,0854,-6.00,12.00,0906,1101,13.00,1137,1114,-23.00,0.00,,0.00,937.00
2018-01-01,UA,19977,UA,866,14492,1449202,34492,RDU,11292,1129202,30325,DEN,0810,0803,-7.00,9.00,0812,0954,9.00,1019,1003,-16.00,0.00,,0.00,1436.00
2018-01-01,UA,19977,UA,865,13204,1320402,31454,MCO,11292,1129202,30325,DEN,1219,1228,9.00,17.00,1245,1426,11.00,1427,1437,10.00,0.00,,0.00,1546.00
2018-01-01,UA,19977,UA,864,12889,1288903,32211,LAS,14771,1477104,32457,SFO,1744,,,,,,,1926,,,1.00,A,0.00,414.00
2018-01-01,UA,19977,UA,859,14107,1410702,30466,PHX,12266,1226603,31453,IAH,0515,0509,-6.00,11.00,0520,0818,7.00,0846,0825,-21.00,0.00,,0.00,1009.00
2018-01-01,UA,19977,UA,856,12892,1289208,32575,LAX,12264,1226402,30852,IAD,1047,1045,-2.00,16.00,1101,1816,7.00,1839,1823,-16.00,0.00,,0.00,2288.00
2018-01-01,UA,19977,UA,849,12264,1226402,30852,IAD,10529,1052906,30529,BDL,0815,0809,-6.00,11.00,0820,0909,7.00,0932,0916,-16.00,0.00,,0.00,326.00
2018-01-01,UA,19977,UA,848,14492,1449202,34492,RDU,12264,1226402,30852,IAD,1025,1021,-4.00,15.00,1036,1115,3.00,1133,1118,-15.00,0.00,,0.00,224.00
2018-01-01,UA,19977,UA,843,11618,1161802,31703,EWR,14831,1483106,32457,SJC,1930,1926,-4.00,19.00,1945,2219,4.00,2251,2223,-28.00,0.00,,0.00,2548.00
2018-01-01,UA,19977,UA,842,11618,1161802,31703,EWR,14492,1449202,34492,RDU,1330,1334,4.00,31.00,1405,1519,3.00,1515,1522,7.00,0.00,,0.00,416.00
2018-01-01,UA,19977,UA,841,14843,1484306,34819,SJU,13930,1393006,30977,ORD,1510,1534,24.00,17.00,1551,1824,10.00,1810,1834,24.00,0.00,,0.00,2072.00
2018-01-01,UA,19977,UA,834,12889,1288903,32211,LAS,14771,1477104,32457,SFO,0700,0653,-7.00,14.00,0707,0812,26.00,0842,0838,-4.00,0.00,,0.00,414.00
2018-01-01,UA,19977,UA,833,12953,1295304,31703,LGA,12266,1226603,31453,IAH,1542,1543,1.00,16.00,1559,1835,5.00,1855,1840,-15.00,0.00,,0.00,1416.00
2018-01-01,UA,19977,UA,832,11618,1161802,31703,EWR,11697,1169706,32467,FLL,1006,1015,9.00,17.00,1032,1306,10.00,1317,1316,-1.00,0.00,,0.00,1065.00
2018-01-01,UA,19977,UA,832,11697,1169706,32467,FLL,12266,1226603,31453,IAH,1455,1623,88.00,19.00,1642,1800,8.00,1654,1808,74.00,0.00,,0.00,966.00
2018-01-01,UA,19977,UA,832,12266,1226603,31453,IAH,12892,1289208,32575,LAX,1810,1843,33.00,19.00,1902,2018,9.00,2002,2027,25.00,0.00,,0.00,1379.00
2018-01-01,UA,19977,UA,831,11292,1129202,30325,DEN,11433,1143302,31295,DTW,1015,1016,1.00,13.00,1029,1447,9.00,1502,1456,-6.00,0.00,,0.00,1123.00
2018-01-01,UA,19977,UA,830,11292,1129202,30325,DEN,13930,1393006,30977,ORD,1635,1627,-8.00,14.00,1641,1933,4.00,2002,1937,-25.00,0.00,,0.00,888.00
2018-01-01,UA,19977,UA,830,14057,1405702,34057,PDX,11292,1129202,30325,DEN,1045,1041,-4.00,9.00,1050,1351,6.00,1412,1357,-15.00,0.00,,0.00,991.00
2018-01-01,UA,19977,UA,825,12266,1226603,31453,IAH,11292,1129202,30325,DEN,1620,1613,-7.00,25.00,1638,1743,7.00,1758,1750,-8.00,0.00,,0.00,862.00
2018-01-01,UA,19977,UA,824,12892,1289208,32575,LAX,10721,1072102,30721,BOS,0851,0857,6.00,19.00,0916,1709,5.00,1720,1714,-6.00,0.00,,0.00,2611.00
2018-01-01,UA,19977,UA,822,12264,1226402,30852,IAD,10721,1072102,30721,BOS,1708,1702,-6.00,19.00,1721,1825,4.00,1842,1829,-13.00,0.00,,0.00,413.00
